7,24,RISK,3
7,25,MUSIC,2
7,26,HISTORY,2
7,27,PURPLE,1
7,28,HOPE,2
7,29,ORANGE,3
7,30,SAFETY,2
7,31,RED,2
7,32,CITY,1
7,33,VILLAGE,4
7,34,ORANGE,1
7,35,SAFETY,2
7,36,DESERT,3
7,37,PURPLE,3
7,38,BLUE,1
7,39,SEA,2
7,40,GREEN,3
7,41,PURPLE,1
7,42,GREEN,4
7,43,VILLAGE,3
7,44,RED,1
7,45,DESERT,2
7,46,VITALITY,3
7,47,PURPLE,1
7,48,BLUE,4
7,49,POWER,2
7,50,GREEN,3
7,51,HOPE,2
7,52,BLUE,4
7,53,POWER,2
7,54,ORANGE,1
7,55,MOUNTAIN,2
7,56,DESERT,3
7,57,PURPLE,3
7,58,CITY,4
7,59,SEA,2
7,60,GREEN,3
8,21,PURPLE,1
8,22,VITALITY,2
8,23,BLUE,2
8,24,SEA,4
8,25,POWER,2
8,26,VITALITY,3
8,27,LITERATURE,2
8,28,HOPE,2
8,29,ORANGE,3
8,30,SAFETY,2
8,31,SEA,4
8,32,CITY,1
8,33,MUSIC,2
8,34,VITALITY,3
8,35,SAFETY,2
8,36,LITERATURE,2
8,37,PURPLE,3
8,38,BLUE,1
8,39,SEA,2
8,40,VILLAGE,3
8,41,HOPE,3
8,42,LITERATURE,2
8,43,SAFETY,3
8,44,SEA,4
8,45,DESERT,2
8,46,VITALITY,3
8,47,SEA,4
8,48,HOPE,2
8,49,POWER,2
8,50,GREEN,3
8,51,SEA,4
8,52,BLUE,4
8,53,VILLAGE,4
8,54,ORANGE,1
8,55,GREEN,4
8,56,DESERT,3
8,57,MOUNTAIN,3
8,58,BLUE,1
8,59,SEA,2
8,60,VILLAGE,3
9,21,PURPLE,1
9,22,LITERATURE,2
9,23,VILLAGE,3
9,24,SEA,4
9,25,POWER,2
9,26,RED,2
9,27,SEA,4
9,28,PHYSICS,2
9,29,VILLAGE,3
9,30,SAFETY,2
9,31,HISTORY,2
9,32,CITY,1
9,33,MUSIC,2
9,34,VITALITY,3
9,35,GREEN,4
9,36,DESERT,3
9,37,MOUNTAIN,3
9,38,CITY,4
9,39,SAFETY,3
9,40,VITALITY,2
9,41,HOPE,3
9,42,VITALITY,2
9,43,VILLAGE,3
9,44,SEA,4
9,45,MUSIC,2
9,46,HISTORY,2
9,47,RISK,3
9,48,DESERT,2
9,49,ORANGE,3
9,50,SAFETY,2
9,51,HOPE,2
9,52,CITY,1
9,53,PURPLE,2
9,54,ORANGE,1
9,55,PHYSICS,2
9,56,POWER,3
9,57,MOUNTAIN,3
9,58,RISK,3
9,59,ORANGE,3
9,60,HISTORY,2
10,21,HOPE,3
10,22,LITERATURE,2
10,23,SAFETY,3
10,24,SEA,4
10,25,POWER,2
10,26,VITALITY,3
10,27,SEA,4
10,28,HOPE,2
10,29,ORANGE,3
10,30,CITY,3
10,31,SEA,4
10,32,CITY,1
10,33,VILLAGE,4
10,34,ORANGE,1
10,35,GREEN,4
10,36,DESERT,3
10,37,MOUNTAIN,3
10,38,BLUE,1
10,39,SEA,2
10,40,GREEN,3
10,41,CITY,4
10,42,GREEN,4
10,43,BLUE,2
10,44,SEA,4
10,45,ORANGE,4
10,46,RED,2
10,47,SEA,4
10,48,BLUE,4
10,49,ORANGE,3
10,50,CITY,3
10,51,SEA,4
10,52,CITY,1
10,53,PURPLE,2
10,54,ORANGE,1
10,55,GREEN,4
10,56,DESERT,3
10,57,PURPLE,3
10,58,BLUE,1
10,59,SEA,2
10,60,VILLAGE,3
11,21,HOPE,3
11,22,MOUNTAIN,2
11,23,BLUE,2
11,24,RISK,3
11,25,DESERT,2
11,26,RED,2
11,27,LITERATURE,2
11,28,BLUE,4
11,29,GEOGRAPHY,2
11,30,SAFETY,2
11,31,HOPE,2
11,32,RISK,3
11,33,VILLAGE,4
11,34,LITERATURE,2
11,35,PHYSICS,2
11,36,POWER,3
11,37,MOUNTAIN,3
11,38,BLUE,1
11,39,SAFETY,3
11,40,GREEN,3
11,41,CITY,4
11,42,VITALITY,2
11,43,BLUE,2
11,44,SEA,4
11,45,POWER,2
11,46,RED,2
11,47,SEA,4
11,48,BLUE,4
11,49,POWER,2
11,50,CITY,3
11,51,SEA,4
11,52,BLUE,4
11,53,VILLAGE,4
11,54,ORANGE,1
11,55,GREEN,4
11,56,DESERT,3
11,57,PURPLE,3
11,58,CITY,4
11,59,SEA,2
11,60,VILLAGE,3
12,21,HOPE,3
12,22,MOUNTAIN,2
12,23,PHYSICS,2
12,24,SEA,4
12,25,POWER,2
12,26,MOUNTAIN,3
12,27,SEA,4
12,28,HOPE,2
12,29,ORANGE,3
12,30,MUSIC,2
12,31,HOPE,2
12,32,BLUE,4
12,33,POWER,2
12,34,DESERT,4
12,35,SAFETY,2
12,36,RED,2
12,37,MUSIC,2
12,38,BLUE,1
12,39,SEA,2
12,40,VITALITY,2
12,41,HOPE,3
12,42,MOUNTAIN,2
12,43,PHYSICS,2
12,44,RISK,3
12,45,ORANGE,4
12,46,MOUNTAIN,3
12,47,PURPLE,1
12,48,PHYSICS,2
12,49,ORANGE,3
12,50,GREEN,3
12,51,SEA,4
12,52,CITY,1
12,53,VILLAGE,4
12,54,ORANGE,1
12,55,PHYSICS,2
12,56,RED,2
12,57,MUSIC,2
12,58,CITY,4
12,59,SAFETY,3
12,60,GREEN,3
13,21,HOPE,3
13,22,VITALITY,2
13,23,PHYSICS,2
13,24,SEA,4
13,25,MUSIC,2
13,26,MOUNTAIN,3
13,27,SEA,4
13,28,HOPE,2
13,29,ORANGE,3
13,30,CITY,3
13,31,HOPE,2
13,32,BLUE,4
13,33,PURPLE,2
13,34,ORANGE,1
13,35,PHYSICS,2
13,36,POWER,3
13,37,HOPE,2
13,38,BLUE,1
13,39,SAFETY,3
13,40,VILLAGE,3
13,41,CITY,4
13,42,VITALITY,2
13,43,VILLAGE,3
13,44,GEOGRAPHY,2
13,45,MUSIC,2
13,46,MOUNTAIN,3
13,47,SEA,4
13,48,HOPE,2
13,49,ORANGE,3
13,50,GREEN,3
13,51,SEA,4
13,52,BLUE,4
13,53,VILLAGE,4
13,54,ORANGE,1
13,55,MOUNTAIN,2
13,56,DESERT,3
13,57,HOPE,2
13,58,BLUE,1
13,59,SAFETY,3
13,60,GREEN,3
14,21,HOPE,3
14,22,VITALITY,2
14,23,SAFETY,3
14,24,SEA,4
14,25,POWER,2
14,26,VITALITY,3
14,27,SEA,4
14,28,BLUE,4
14,29,POWER,2
14,30,CITY,3
14,31,SEA,4
14,32,BLUE,4
14,33,MUSIC,2
14,34,ORANGE,1
14,35,GREEN,4
14,36,DESERT,3
14,37,HOPE,2
14,38,BLUE,1
14,39,SEA,2
14,40,VILLAGE,3
14,41,CITY,4
14,42,GREEN,4
14,43,VILLAGE,3
14,44,SEA,4
14,45,ORANGE,4
14,46,MOUNTAIN,3
14,47,SEA,4
14,48,BLUE,4
14,49,VILLAGE,3
14,50,GREEN,3
14,51,SEA,4
14,52,BLUE,4
14,53,VILLAGE,4
14,54,DESERT,4
14,55,GREEN,4
14,56,DESERT,3
14,57,MUSIC,2
14,58,BLUE,1
14,59,SEA,2
14,60,VILLAGE,3
15,21,HOPE,3
15,22,VITALITY,2
15,23,VILLAGE,3
15,24,SEA,4
15,25,POWER,2
15,26,HISTORY,2
15,27,SEA,4
15,28,PHYSICS,2
15,29,VILLAGE,3
15,30,GREEN,3
15,31,SEA,4
15,32,BLUE,4
15,33,VILLAGE,4
15,34,ORANGE,1
15,35,GREEN,4
15,36,DESERT,3
15,37,MOUNTAIN,3
15,38,BLUE,1
15,39,SEA,2
15,40,GREEN,3
15,41,CITY,4
15,42,GREEN,4
15,43,VILLAGE,3
15,44,SEA,4
15,45,ORANGE,4
15,46,VITALITY,3
15,47,SEA,4
15,48,DESERT,2
15,49,ORANGE,3
15,50,GREEN,3
15,51,SEA,4
15,52,CITY,1
15,53,VILLAGE,4
15,54,ORANGE,1
15,55,GREEN,4
15,56,POWER,3
15,57,PURPLE,3
15,58,BLUE,1
15,59,SAFETY,3
15,60,VILLAGE,3
16,21,HOPE,3
16,22,MOUNTAIN,2
16,23,BLUE,2
16,24,RISK,3
16,25,POWER,2
16,26,MOUNTAIN,3
16,27,RISK,3
16,28,HOPE,2
16,29,POWER,2
16,30,SAFETY,2
16,31,SEA,4
16,32,GEOGRAPHY,2
16,33,POWER,2
16,34,VITALITY,3
16,35,MOUNTAIN,2
16,36,LITERATURE,2
16,37,MUSIC,2
16,38,GEOGRAPHY,2
16,39,SEA,2
16,40,HISTORY,2
16,41,PURPLE,1
16,42,MOUNTAIN,2
16,43,VILLAGE,3
16,44,SEA,4
16,45,DESERT,2
16,46,HISTORY,2
16,47,PURPLE,1
16,48,HOPE,2
16,49,VILLAGE,3
16,50,GREEN,3
16,51,RED,2
16,52,CITY,1
16,53,MUSIC,2
16,54,ORANGE,1
16,55,MOUNTAIN,2
16,56,LITERATURE,2
16,57,HOPE,2
16,58,RISK,3
16,59,ORANGE,3
16,60,VITALITY,2
17,21,HOPE,3
17,22,LITERATURE,2
17,23,PHYSICS,2
17,24,GEOGRAPHY,2
17,25,POWER,2
17,26,HISTORY,2
17,27,SEA,4
17,28,BLUE,4
17,29,ORANGE,3
17,30,GREEN,3
17,31,SEA,4
17,32,BLUE,4
17,33,MUSIC,2
17,34,VITALITY,3
17,35,MOUNTAIN,2
17,36,DESERT,3
17,37,PURPLE,3
17,38,BLUE,1
17,39,SEA,2
17,40,GREEN,3
17,41,CITY,4
17,42,MOUNTAIN,2
17,43,VILLAGE,3
17,44,SEA,4
17,45,DESERT,2
17,46,MOUNTAIN,3
17,47,SEA,4
17,48,DESERT,2
17,49,ORANGE,3
17,50,CITY,3
17,51,SEA,4
17,52,CITY,1
17,53,VILLAGE,4
17,54,ORANGE,1
17,55,GREEN,4
17,56,DESERT,3
17,57,PURPLE,3
17,58,BLUE,1
17,59,ORANGE,3
17,60,HISTORY,2
18,21,HOPE,3
18,22,LITERATURE,2
18,23,SAFETY,3
18,24,RISK,3
18,25,POWER,2
18,26,MOUNTAIN,3
18,27,SEA,4
18,28,HOPE,2
18,29,POWER,2
18,30,CITY,3
18,31,SEA,4
18,32,CITY,1
18,33,VILLAGE,4
18,34,VITALITY,3
18,35,MOUNTAIN,2
18,36,RED,2
18,37,HOPE,2
18,38,RISK,3
18,39,SEA,2
18,40,GREEN,3
18,41,CITY,4
18,42,MOUNTAIN,2
18,43,SAFETY,3
18,44,SEA,4
18,45,ORANGE,4
18,46,VITALITY,3
18,47,SEA,4
18,48,HOPE,2
18,49,ORANGE,3
18,50,GREEN,3
18,51,SEA,4
18,52,CITY,1
18,53,VILLAGE,4
18,54,ORANGE,1
18,55,SAFETY,2
18,56,DESERT,3
18,57,HOPE,2
18,58,RISK,3
18,59,SEA,2
18,60,GREEN,3
19,21,HOPE,3
19,22,GREEN,4
19,23,PHYSICS,2
19,24,GEOGRAPHY,2
19,25,POWER,2
19,26,HISTORY,2
19,27,SEA,4
19,28,HOPE,2
19,29,VILLAGE,3
19,30,MUSIC,2
19,31,RED,2
19,32,BLUE,4
19,33,VILLAGE,4
19,34,ORANGE,1
19,35,SAFETY,2
19,36,DESERT,3
19,37,MOUNTAIN,3
19,38,RISK,3
19,39,SEA,2
19,40,VILLAGE,3
19,41,CITY,4
19,42,MOUNTAIN,2
19,43,VILLAGE,3
19,44,GEOGRAPHY,2
19,45,DESERT,2
19,46,HISTORY,2
19,47,SEA,4
19,48,BLUE,4
19,49,ORANGE,3
19,50,GREEN,3
19,51,SEA,4
19,52,CITY,1
19,53,VILLAGE,4
19,54,ORANGE,1
19,55,SAFETY,2
19,56,DESERT,3
19,57,HOPE,2
19,58,RISK,3
19,59,SEA,2
19,60,VILLAGE,3
20,21,HOPE,3
20,22,GREEN,4
20,23,BLUE,2
20,24,GEOGRAPHY,2
20,25,MUSIC,2
20,26,VITALITY,3
20,27,SEA,4
20,28,BLUE,4
20,29,VILLAGE,3
20,30,GREEN,3
20,31,SEA,4
20,32,BLUE,4
20,33,VILLAGE,4
20,34,ORANGE,1
20,35,GREEN,4
20,36,DESERT,3
20,37,PURPLE,3
20,38,BLUE,1
20,39,SEA,2
20,40,GREEN,3
20,41,HISTORY,2
20,42,VITALITY,2
20,43,VILLAGE,3
20,44,SEA,4
20,45,ORANGE,4
20,46,MOUNTAIN,3
20,47,SEA,4
20,48,DESERT,2
20,49,VILLAGE,3
20,50,GREEN,3
